City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Buckeye,US,2022-10-16 21:49:00,33.3703,-112.5838,81.68,49,20,0.0
182,El Retorno,CO,2022-10-16 21:49:00,2.3302,-72.6276,74.26,82,97,4.09
183,Arlit,NE,2022-10-16 21:49:01,18.7369,7.3853,87.3,17,0,11.86
184,Bambous Virieux,MU,2022-10-16 21:49:01,-20.3428,57.7575,71.85,83,40,8.05
185,Thompson,CA,2022-10-16 21:46:00,55.7435,-97.8558,30.36,55,20,9.22
186,Katobu,ID,2022-10-16 21:49:02,-4.9408,122.5276,75.92,94,96,3.29
187,Vardo,NO,2022-10-16 21:49:02,70.3705,31.1107,42.78,87,75,14.97
188,Mayor Pablo Lagerenza,PY,2022-10-16 21:49:03,-19.9309,-60.7718,80.06,61,96,4.09
189,Beringovskiy,RU,2022-10-16 21:49:03,63.05,179.3167,24.76,69,99,15.77
190,Clemson,US,2022-10-16 21:48:33,34.6834,-82.8374,80.22,48,0,5.75
191,Nanortalik,GL,2022-10-16 21:49:04,60.1432,-45.2371,35.37,74,3,10.04
192,Zhanaozen,KZ,2022-10-16 21:49:05,43.3,52.8,55.29,35,100,13.71
193,Ozernovskiy,RU,2022-10-16 21:49:05,51.5,156.5167,45.0,61,100,15.39
194,Kishtwar,IN,2022-10-16 21:46:13,33.3167,75.7667,52.09,62,0,4.52
195,Bom Jesus,BR,2022-10-16 21:49:06,-9.0744,-44.3586,87.39,26,30,5.93
196,Cayenne,GF,2022-10-16 21:49:06,4.9333,-52.3333,82.44,74,0,5.75
197,Perbaungan,ID,2022-10-16 21:49:07,3.5679,98.956,75.31,90,100,2.55
198,Narrabri,AU,2022-10-16 21:46:59,-30.3167,149.7833,60.53,73,0,1.99
199,Camacupa,AO,2022-10-16 21:49:08,-12.0167,17.4833,67.33,59,98,4.68
200,San Rafael,AR,2022-10-16 21:49:08,-34.6177,-68.3301,77.61,20,16,16.46
201,Mmabatho,ZA,2022-10-16 21:49:09,-25.85,25.6333,71.56,49,98,10.36
202,Tabou,CI,2022-10-16 21:49:10,4.423,-7.3528,76.17,84,85,4.97
203,Henties Bay,NA,2022-10-16 21:49:10,-22.116,14.2845,59.61,86,30,6.64
204,Acajutla,SV,2022-10-16 21:49:11,13.5928,-89.8275,82.24,82,95,7.52
205,Kaduqli,SD,2022-10-16 21:49:11,11.0167,29.7167,79.45,51,94,4.83
206,Oxford,GB,2022-10-16 21:46:55,51.7522,-1.256,61.05,97,75,14.97
207,Bethel,US,2022-10-16 21:49:12,41.3712,-73.414,64.49,64,0,6.91
208,Barra Bonita,BR,2022-10-16 21:49:12,-22.4947,-48.5581,72.45,75,95,5.79
209,Letka,RU,2022-10-16 21:49:13,59.6011,49.4232,41.02,95,100,6.33
210,Bay City,US,2022-10-16 21:49:13,43.5945,-83.8889,53.71,70,100,4.61
211,Deputatskiy,RU,2022-10-16 21:49:14,69.3,139.9,13.08,94,100,4.83
212,Vanimo,PG,2022-10-16 21:49:14,-2.6741,141.3028,77.9,91,100,3.74
213,Puerto Del Rosario,ES,2022-10-16 21:46:37,28.5004,-13.8627,73.15,83,20,10.36
214,Tabuk,PH,2022-10-16 21:49:15,17.4189,121.4443,70.79,80,100,3.18
215,Larsnes,NO,2022-10-16 21:49:16,62.2028,5.5773,51.44,91,100,15.57
216,Kulhudhuffushi,MV,2022-10-16 21:49:16,6.6221,73.07,80.31,82,100,20.47
217,Caravelas,BR,2022-10-16 21:49:17,-17.7125,-39.2481,73.35,78,5,6.98
218,Chuy,UY,2022-10-16 21:47:23,-33.6971,-53.4616,58.41,93,100,19.13
219,Huntsville,US,2022-10-16 21:49:17,34.7304,-86.5861,75.81,64,75,5.75
220,Bilibino,RU,2022-10-16 21:49:18,68.0546,166.4372,-9.63,99,85,2.75
221,Adrar,MR,2022-10-16 21:49:18,20.5022,-10.0711,91.49,22,50,6.89
222,Bida,NG,2022-10-16 21:49:19,9.0833,6.0167,77.29,69,11,2.71
223,Podor,MR,2022-10-16 21:49:19,16.6527,-14.9587,89.55,55,0,2.3
224,Labuhan,ID,2022-10-16 21:49:19,-6.8844,112.2051,78.49,81,99,13.04
225,Bengkulu,ID,2022-10-16 21:49:20,-3.8004,102.2655,75.16,89,100,2.93
226,Liverpool,GB,2022-10-16 21:46:00,53.4106,-2.9779,56.28,87,75,14.97
227,Kabompo,ZM,2022-10-16 21:49:20,-13.5927,24.2008,66.24,29,56,4.5
228,Strezhevoy,RU,2022-10-16 21:49:21,60.7333,77.5889,41.04,91,100,2.48
229,Vitim,RU,2022-10-16 21:50:21,59.4511,112.5578,28.85,87,100,6.98
230,Teeli,RU,2022-10-16 21:50:22,51.0333,90.2333,30.81,48,89,1.03
231,Samarai,PG,2022-10-16 21:50:22,-10.6167,150.6667,81.45,80,51,11.32
232,Juneau,US,2022-10-16 21:49:42,58.3019,-134.4197,61.11,92,75,17.27
233,Souillac,MU,2022-10-16 21:50:23,-20.5167,57.5167,71.98,83,40,8.05
234,Dikson,RU,2022-10-16 21:50:23,73.5069,80.5464,28.15,94,100,8.32
235,Vao,NC,2022-10-16 21:50:24,-22.6667,167.4833,71.01,68,15,7.25
236,Abu Samrah,SY,2022-10-16 21:50:24,35.3029,37.1841,69.82,53,8,1.54
237,Almunecar,ES,2022-10-16 21:50:24,36.7339,-3.6907,81.68,61,83,5.86
238,Solnechnyy,RU,2022-10-16 21:50:25,50.7214,136.6319,32.29,92,76,4.07
239,Nanakuli,US,2022-10-16 21:50:25,21.3906,-158.1547,87.75,51,100,11.5
240,Minsk,BY,2022-10-16 21:47:58,53.9,27.5667,51.55,69,100,14.0
241,Eyrarbakki,IS,2022-10-16 21:50:26,63.863,-21.1481,37.45,75,8,14.58
242,Mayo,US,2022-10-16 21:50:26,38.8876,-76.5119,67.3,67,0,5.75
243,Kholodnyy,RU,2022-10-16 21:50:27,62.7167,147.95,-6.68,99,84,1.01
244,Tulun,RU,2022-10-16 21:50:27,54.5611,100.5792,26.51,79,42,4.9
245,Pointe-Noire,CG,2022-10-16 21:50:28,-4.7761,11.8635,76.59,89,87,3.56
246,Den Helder,NL,2022-10-16 21:50:28,52.9599,4.7593,56.98,83,100,9.22
247,Tolbazy,RU,2022-10-16 21:50:29,54.0241,55.8825,38.75,80,45,5.41
248,Ulety,RU,2022-10-16 21:50:29,51.3572,112.4849,21.97,77,17,3.62
249,Necochea,AR,2022-10-16 21:50:29,-38.5473,-58.7368,55.74,63,66,12.48
250,Buin,CL,2022-10-16 21:48:47,-33.7333,-70.75,80.92,43,42,6.22
251,Mosquera,CO,2022-10-16 21:48:42,4.7059,-74.2302,57.29,88,75,11.5
252,Hambantota,LK,2022-10-16 21:50:30,6.1241,81.1185,75.54,100,40,4.61
253,Sinjai,ID,2022-10-16 21:50:31,-5.1241,120.253,76.69,87,100,2.71
254,Mudgee,AU,2022-10-16 21:50:31,-32.5943,149.5871,59.05,72,100,10.36
255,Trairi,BR,2022-10-16 21:50:31,-3.2778,-39.2689,78.98,79,2,14.0
256,Saint-Augustin,CA,2022-10-16 21:50:32,51.226,-58.6502,52.05,73,100,8.99
257,San Patricio,US,2022-10-16 21:50:32,28.017,-97.5169,92.17,50,55,12.24
258,San Policarpo,PH,2022-10-16 21:50:33,12.1791,125.5072,78.73,87,100,5.41
259,Virginia Beach,US,2022-10-16 21:49:05,36.8529,-75.978,76.01,69,100,5.75
260,Ongandjera,NA,2022-10-16 21:50:33,-17.8833,15.0667,71.06,54,74,6.69
261,Yerbogachen,RU,2022-10-16 21:50:34,61.2767,108.0108,25.57,91,28,5.19
262,Carnarvon,AU,2022-10-16 21:50:34,-24.8667,113.6333,63.57,64,24,18.39
263,Wanning,CN,2022-10-16 21:50:34,18.8003,110.3967,74.34,61,100,10.2
264,Yumen,CN,2022-10-16 21:50:35,40.2833,97.2,39.43,32,24,4.25
265,New Norfolk,AU,2022-10-16 21:50:35,-42.7826,147.0587,50.92,64,95,1.01
266,Remontnoye,RU,2022-10-16 21:50:35,46.5614,43.6501,46.6,49,99,13.15
267,Shimoda,JP,2022-10-16 21:50:36,34.6667,138.95,67.1,88,100,3.6
268,Cabedelo,BR,2022-10-16 21:48:06,-6.9811,-34.8339,77.67,81,23,13.0
269,Fairbanks,US,2022-10-16 21:50:12,64.8378,-147.7164,39.16,76,40,5.75
270,Shchors,UA,2022-10-16 21:50:36,51.8186,31.945,40.23,69,99,7.16
271,Bathsheba,BB,2022-10-16 21:50:37,13.2167,-59.5167,84.81,70,20,12.66
272,Awjilah,LY,2022-10-16 21:50:37,29.1081,21.2869,72.77,47,33,11.41
273,Boca Do Acre,BR,2022-10-16 21:50:37,-8.7522,-67.3978,79.83,79,81,1.99
274,Xingyi,CN,2022-10-16 21:50:38,24.1877,102.817,53.53,88,100,4.25
275,San Andres,CO,2022-10-16 21:50:38,12.5847,-81.7006,87.82,66,40,11.5
276,Bilma,NE,2022-10-16 21:50:39,18.6853,12.9164,80.85,19,0,1.72
277,Olafsvik,IS,2022-10-16 21:51:39,64.8945,-23.7142,36.9,77,49,16.26
278,Ondjiva,AO,2022-10-16 21:51:39,-17.0667,15.7333,69.12,66,100,1.39
279,Dagda,LV,2022-10-16 21:51:40,56.0951,27.5372,52.48,86,100,11.74
280,Saint-Philippe,RE,2022-10-16 21:51:40,-21.3585,55.7679,69.39,83,19,6.33
281,Gwadar,PK,2022-10-16 21:51:40,25.1216,62.3254,78.42,63,0,4.0
282,Sorong,ID,2022-10-16 21:51:41,-0.8833,131.25,78.46,85,100,5.37
283,Pokhara,NP,2022-10-16 21:51:41,28.2333,83.9833,62.31,44,0,6.76
284,Port Elizabeth,ZA,2022-10-16 21:51:41,-33.918,25.5701,71.1,93,0,6.91
285,Namibe,AO,2022-10-16 21:51:42,-15.1961,12.1522,68.52,85,80,4.32
286,Sassandra,CI,2022-10-16 21:51:42,4.95,-6.0833,75.36,89,92,4.45
287,Yerofey Pavlovich,RU,2022-10-16 21:51:42,53.9667,121.9667,24.46,68,25,3.78
